Date,total civilian casualties
2/24/2022,30
2/25/2022,25
2/26/2022,185
2/27/2022,0
2/28/2022,166
3/1/2022,144
3/2/2022,202
3/3/2022,86
3/4/2022,168
3/5/2022,52
3/6/2022,65
3/7/2022,84
3/8/2022,128
3/9/2022,89
3/10/2022,82
3/11/2022,40
3/12/2022,35
3/13/2022,82
3/14/2022,98
3/15/2022,73
3/16/2022,198
3/17/2022,117
3/18/2022,97
