,text
457992,neo  nazi forces are   km from kiev  there are children among killed civilians they want to overthrow democratically elected government and appoint their own  putin s  russia must be cut  from civilised world  lets stop trembling on swift provide  ukraine with real military aid 
459409,you better help  ukraine now  don t give  russia arguments to make  ukraine  attack betrayals   germany  france   
460005,russian troops seized   trucks of ukrainian military and entered kyiv  via   ukraine 
460205,spread the message    ukraine  ukraineinvasion 
460211,ministry of defense  russian troops infiltrated in kyiv have been neutralized  via   ukraine
460397,fight with enemy sabotage and reconnaissance group continues in obolon  kyiv   general staff of the armed forces of ukraine   via   ukraine
460775, kyiv  obolon right now   russian tank on the video  reports say   empr to confirm 
462048,    detainees all over  russia by this hour 
462560, russia s war on  ukraine in maps 
463669,some are incensed with  russiaprotests yday  they are allegedly johnny come latelies  bandwagon jumpers  hypocrites who cheered for  putin in    maybe  but let s hope they continue  every day  the more trouble behind the lines  the better   standwithukraine
464086,tweet from arbaz azhar   when all world leaders are hiding and afraid of putin  this great man president zelensky is defending country with his spirit    russianinvasion  ukraine  russiaukrainewar  
464185,  tv address to the russian     people might be the most moving speech that i ve ever seen in my entire life  the whole world needs to see  understand and share this crucial ukrainian message   standwithukraine  ukraine           russia         
464660, nato heads of state  amp  government will meet via secure teleconference on friday   february to discuss the consequences of  russia s attack on  ukraine          cet  doorstep        cet  sg  press conference           natosummit 
464791,snake island  black sea  russians  this is russian warship  i propose you lay down arms and surrender to avoid bloodshed  amp  victims  otherwise  you ll be bombed  ukrainians  russian warship  go fuck yourself  idi na chuj   by    ukraine  
467201, associatedpress reports that gunfire has been heard in the government quarter of  kyiv  an air raid alert has been declared in the city 
468276, poland  moldova  lithuania  latvia  estonia  finland what happens to us if  ukraine is not the end game  can we prepare now or is this an unstoppable chain reaction that s about to escalate beyond belief   potop 
468642, ukrainian friends  if you are forced to evacuate   poland has announced that they will permit you to cross the  polish border with your animals  you will be supported   ukraine  ukraina  ukrainecrisis  animals  dogs  cats  rescue  ukraine russia  rusyaukrayna 
469471,  years ago  greece  amp   turkey joined  nato  and over these decades as allies  they both contributed to peace and stability around the globe  we look forward to continue this journey together    join us  amp   tomorrow to celebrate our allies   
470971,  tv address to the russian     people might be the most moving speech that i ve ever seen in my entire life  the whole world needs to see  understand and share this crucial ukrainian message   standwithukraine  ukraine           russia         
471706,brkng   russia assault force that landed in northern  kyiv city  minsk massif  hours ago is now destroyed on the streets   ukraine deputy defense minr  malyar just posted  that would be another landing force  not the one dispersed in hostomel area yesterday   urbanwarfare   ww 
471818,large lines at the exchange offices for currency in  moscow 
473386,this is  n ukrainian termopile    brave solider fought to death with dumb  russian soldiers  ruled by madman from kremlin    west governments  all shame are on you  
474581,  what do we know after the first   hours of war in ukraine   and what  nato and the rest of the democratic world needs to do now to assist  brave  ukrainians       standwithukraine
474664,   ukraine is fighting bravely and effectively   it is not  and will not be easy war for russia     mod reported heavy  russian losses    soldiers  killed and taken prisoner     tanks    armored vehicles    fighter jets    helicopters in the first  h of fighting 
474712,   as the  nato leaders meet today for emergency summit   what can be and should be done  provide    with    man portable air defense systems  e g  stinger type  as russian air superiority is the key problem for    forces
474798,   beyond ukraine   nato needs to urgently reinforce eastern flank states   with de facto soft annexation of belarus the security situation of the baltics states and poland worsened significantly 
476660,dear world   know that at this very moment thousands of  polish people are offering help to  ukraine  they re giving lifts for free  providing homes and beds to families escaping the conflict    there is still much good in this world if you look for it 
476693, breaking crazy footage of a mig   of the ukrainian air force shooting down a su   fighter jet of  russia s air force over ukraine s capital  kyiv today  likely using the r   infrared homing missile    ukraine  russiainvadesukraine  worldwar   worldwariii  wwiii 
476786, ukraine  sumy clashes in sumy city last night also appeared one of the live feeds from sumy  bullets can be seen bouncing from the apartment complex  
476944,i salute the remarkable leadership of our national scout organization in  ukraine   stands with them    we re launching an appeal to provide urgent grassroots humanitarian support to the affected population  you too can support     
477712, breaking crazy footage of a mig   of the ukrainian air force shooting down a su   fighter jet of  russia s air force over ukraine s capital  kyiv today  likely using the r   infrared homing missile    ukraine  russiainvadesukraine  worldwar   worldwariii  wwiii 
478357, breaking crazy footage of a mig   of the ukrainian air force shooting down a su   fighter jet of  russia s air force over ukraine s capital  kyiv today  likely using the r   infrared homing missile    ukraine  russiainvadesukraine  worldwar   worldwariii  wwiii 
478590, breaking crazy footage of a mig   of the ukrainian air force shooting down a su   fighter jet of  russia s air force over ukraine s capital  kyiv today  likely using the r   infrared homing missile    ukraine  russiainvadesukraine  worldwar   worldwariii  wwiii 
478796,the  anonymous collective has taken down the website of the  russian propaganda station rt news 
478962, breaking  crazy footage of a mig   of the ukrainian air force shooting down a su   fighter jet of  russia s air force over ukraine s capital  kyiv today  likely using the r   infrared homing missile  
479561,this is what it s like to be  livinginwar  ukraine  ukraineinvasion 
479744,no war is justified where children cry     my allah bless children and innocents       istandwithukraine  prayforpeace  ukraina  russia  nowar 
482279,polish government is taking in all ukrainians who are looking to flee    do not believe that we shut down our borders  we welcome you all with open hands for safety     poland  ukraine  ukraineinvasion 
483377, ukraine western authorities and nato   don t you think that it is necessary to start acting from a position of strength  share this  ukraine  warinukraine 
483390,  what do we know after the first   hours of war in ukraine   and what  nato and the rest of the democratic world needs to do now to assist  brave  ukrainians       standwithukraine
483591,russia s illegal actions in ukraine have resulted in  adopting a first eu sanctions package  effective today  a second package of hard hitting measures will be announced very soon   find out more     ukrainerussiacrisis  ukraine  sanctions 
483757,  tv address to the russian     people might be the most moving speech that i ve ever seen in my entire life  the whole world needs to see  understand and share this crucial ukrainian message   standwithukraine  ukraine           russia         
485094, ukraine meanwhile in  kharkiv eastern  ukraine  a russian missile landed literally in the street but didn t explode  potentially a very dangerous situation for civilians in this area    ukraineinvasion  russia   ukraineunderattack  russiainvadedukraine  russiaukraineconflict 
485667,pass that further  russia peacekeeping troops commiting war crimes    russia  warcrime  war  ukraineinvasion  ukraineconflict  ukraina  ukrainecrisis  ukrainerussiaconflict  standwithukraine 
487184,full document  this is the general license that us treasury has issued exempting any  energy  related dealings from the sanctions imposed on some of the biggest russian banks  it s so wide ranging that even includes  wood  as a form of energy exempted    ukraine  oott 
488087,dear world   know that at this very moment thousands of  polish people are offering help to  ukraine  they re giving lifts for free  providing homes and beds to families escaping the conflict    there is still much good in this world if you look for it 
488966,   france will provide  ukraine with military equipment and financial aid of   million euros 
491569,it is utterly unbelievable to witness how the civilised west acts just like in    pretending that russian forces do not invade a sovereign nation like they did having plotted with ribbentrop  cut them off from everything  starting with the internet and swift  ukraineinvasion
492805,map of clashes in the capital of  ukraine 
495133,dear world   know that at this very moment thousands of  polish people are offering help to  ukraine  they re giving lifts for free  providing homes and beds to families escaping the conflict    there is still much good in this world if you look for it 
495266,it s heartbreaking to see someone s son  husband  father like this      ukraine  ukrainerussia  worldwar   stopwar  russia  standwithukraine  ukrainerussia 
495421,a march in support of  ukraine takes place in  cyprus  
496215,       assault rifles and the corresponding ammunition load have already been distributed in  kyiv   head of the ministry of defense of  ukraine 
496351, poland made an exemption for  ukrainian s who are forced to evacuate with their  cats and  dogs  there is a designated gate  your  pets can cross without a passport as part of the  evac exemption  help is available at the border  don t leave them behind   ukraine  ukrainewar 
496907,more than   russian scientists and scientific journalists have signed an open letter against the  war in  ukraine    for me  it is of particular significance  because i am one of the signatories    please retweet and tell everyone we don t support war   
497170,the anonymous collective is officially in cyber war against the russian government   anonymous  ukraine
497691, swift is our sharpest sword and was announced to hit in case of an attack  the swift exclusion of  russia must not fail because of germany   lanz
498089,almost all  russian  computer chips were produced in taiwan  only very  very basic ones  calculator level  in  russia  
498135,  tv address to the russian     people might be the most moving speech that i ve ever seen in my entire life  the whole world needs to see  understand and share this crucial ukrainian message   standwithukraine  ukraine           russia         
500069,ukrainian refugees can enter the eu without visa  the neighboring states poland  slovakia  hungary  romania and moldova are prepared to welcome ukrainian refugees  spread the word   ukraine  standwithukraine
500899,   kiev  railway station   russiaukraineconflict  ukrainerussia 
501597,prosecutor general of  ukraine irina venediktova said that the bombing of  kyiv by  russian troops will be treated as an act of terrorism 
502045,it should be clear by now that the west not only did not show enough resolve to stop russia from attacking  ukraine in the first place  but also that is it not showing enough resolve now to punish putin  amp  his cronies for what they ve done  this show of weakness will cost us all 
505044,during a video address president zelensky called on europeans with military experience to volunteer and come to  ukraine
505669, mood today  russia  ukraine  nato  usa 
509630,   france will provide  ukraine with military equipment and financial aid of   million euros 
509899,  bit studios team statement   fuckthewar  ukraine    
510022,weapons being handed out to civilians in kyiv ukraine   ukrainerussia 
510044,the man whose car was rammed and crushed by alleged russian strela has been rescued   kyiv oblast  ukraine 
510088,footage of a  mig  of the ukrainian air force shooting down a  su  fighter jet of  russia s air force over ukraine s capital  kyiv today  likely using the  r  infrared homing missile    ukraine 
511640,  bn of  russia total exports from      bn of oil    bn of gas    bn of metals    bn of coal    bn basic materials and   bn of ag products     of the total goes to europe  clear what finances this war machine   standwithukraine 
511844, russia s putin tells  china s xi on phone call  russia is willing to conduct high level negotiations with  ukraine  chinese state media reporting 
511950, english version   russia s aggression against  ukraine  carried out with the support of belarus  is a violation of the norms of international law that form the basis of the international order shaped after the second world war    by     
511963, english version   russia s aggression against  ukraine  carried out with the support of belarus  is a violation of the norms of international law that form the basis of the international order shaped after the second world war    by     
512480,heartbreaking video of  ukrainian soldier   russia s ukraine attack   russiaukrainewar  ukrainerussia  ukraineinvasion  nato  russia  stopputin  stopwar  tejran  jeru 
513001, ukrainians ask  nato to bring their forces to  ukraine    at least to close the sky  to give shelter from the sky    my people shouldn t die   and  cutoffrussiafromswift
514017,  tv address to the russian     people might be the most moving speech that i ve ever seen in my entire life  the whole world needs to see  understand and share this crucial ukrainian message   standwithukraine  ukraine           russia         
514373,  tv address to the russian     people might be the most moving speech that i ve ever seen in my entire life  the whole world needs to see  understand and share this crucial ukrainian message   standwithukraine  ukraine           russia         
515293,russian occupation forces shelled with mrls bm  uragan   mm kindergarten       in  okhtyrka   sumskuy region   ukraine  wounded among children   empr confirmed  russiaukrainewar 
516531,  tv address to the russian     people might be the most moving speech that i ve ever seen in my entire life  the whole world needs to see  understand and share this crucial ukrainian message   standwithukraine  ukraine           russia         
516911,at the consultations with  jef members today i stressed these responsive measures to  russia s aggression      ban russia from  g  amp   unsc     cut off from  swift amp  stop  ns     continue supporting  ukraine by all means  including military  westandwithukraine   
517654,ukrainian channels   a kindergarten that was used as shelter was targeted by russians  fatalities reported    okhtyrka  sumy oblast   ukraine    
518087, romania  your ship is under the russian attack   nato 
518501,bla bla bla concern  strongly condemn  bla bla bla   if  ukraine fall without real support of     it wouldn t be too hard for  putin to use ukrainian military potential against the  betrayal  europe   germany 
518799,    information for refugees from  ukraine   
519355, poland made an exemption for  ukrainian s who are forced to evacuate with their  cats and  dogs  there is a designated gate  your  pets can cross without a passport as part of the  evac exemption  help is available at the border  don t leave them behind   ukraine  ukrainewar 
520296, russia is attacking commercial vessels of nato member states  
521172, ukrainerussia  ukraine  wojna  important informations for ukrainians  
521505,putin s  brotherly love  to  ukraine visualised    russia s armed forces are shelling residential areas of ukrainian cities and towns  putin is a war criminal  
522563, ukrainewar  ukraina  ukrainian  ukraineinvasion  ucraina share 
522711,the russian ministry of defense website is down   anonymous  ukraine
523149,the russian ministry of defense website is down   anonymous  ukraine
523572,russia attacked a commercial vessel of a  nato member state  is this a reason enough to intervene       
524160, swift is our sharpest sword and was announced to hit in case of an attack  the swift exclusion of  russia must not fail because of germany   lanz
524297,in    garry kasparov already warned the west for putin  the full video s of kasparov s nexus lecture  timeless values in a shifting world  are now available on our site  watch his lecture and follow him at    ukraine  putin  kasparov 
526369,       ukraine has delivered a strike inside russian territory and destroyed  russia airfield in  rostov  dozens of enemy aircraft have been destroyed  and dozens of terrorists neutralized  
526508,the  anonymous collective has taken down the website of the  russian propaganda station rt news 
526791,russian military vehicle smashed civil car in  kyiv  s densely populated  obolon district  this person was lucky to survive  dear world  please help us  
527089,the anonymous collective is officially in cyber war against the russian government   anonymous  ukraine
527171,the russian ministry of defense website is down   anonymous  ukraine
527522, russia is ready to send its delegation to  minsk for negotiations with  ukraine 
528191,proud of  ukraine    we are united and courageous  and our values prevail in the face of     troops encircling our country   we might have been unfortunate to share a border with  russia   but we are damn fortunate to have each other   and nobody will ever take that away 
529814,the russian ministry of defense website is down   anonymous  ukraine
531806,the russian ministry of defense website is down   anonymous  ukraine
531982,  bit studios team statement   fuckthewar  ukraine    
532688,   pm  has instructed to prepare polish  airspace to be closed to all commercial airlines from  russia  
533909,ukrainian civilian attempting to stop a convoy of russian armoured vehicles in southern ukraine   russia  ukraine 
534348,  tv address to the russian     people might be the most moving speech that i ve ever seen in my entire life  the whole world needs to see  understand and share this crucial ukrainian message   standwithukraine  ukraine           russia         
534757,the animal protection association casa lui patrocle supports  amp  offers help for families with pets who enter romania from  ukraine via the sireten  the shelter is located in suceava    km away from the ukrainian border     
535414,thoughts and prayers   ucraniarussia  russiaukraineconflict  ucrania  ukraine  ukrainian  friendswillbefriends 
535926,the russian ministry of defense website is down   anonymous  ukraine
536686,ukrainian soldier with flag in front of russian soldier respect to that soldier     ukrainerussia  ukraineinvasion  russianinvasion  russia  stopputin 
537904,in the  blacksea    nautical miles from  ukraine s coast  a  romania n flagged vessel was reportedly hit by a missile shell launched from a russian navy vessel    russia is attacking commercial vessels of nato member states  
538758,  a destroyed ukrainian buk air defense system near  kyiv today   russia  ukraine   psfaero 
539424, ukraine western authorities and nato   don t you think that it is necessary to start acting from a position of strength  share this  ukraine  warinukraine 
541260,live camera from kyiv ukraine after russian invasion  ukraine  kiev  kyiv 
541901,the anonymous collective is officially in cyber war against the russian government   anonymous  ukraine
541927, breaking  within past   hours  tens of military aircraft of  ukraine have been transferred to  poland in order to remain unharmed due to cruise  amp  bvallistic missile strikes of  russian armed forces at their bases  now  four ukrainian an   transport aircraft are over poland   
542828, ukraineinvasion  stopputin  helpukraine  withukraine  ukrainewar  ukraineunderattack  what if   unmarked  blue men  from other countires would come to ukraine and side by side with ukrainians start fighting with russians   
543594, breaking   ukraine s military claims to have killed  russian saboteurs who were dressed as  ukrainian soldiers in  kyiv  ukraineinvasion  ukrainian 
543681,   ukrainian president volodymyr zelenskyy calls on europeans with  combat experience  to take up arms and defend ukraine against invading russian forces  adding the west was too slow to help his country   ukrainerussia 
544792, standwithukraine  hey cowards  eu  nato how s your day  how s the weather  
545078,intel  dell and lenovo corporations have suspended shipments of products to  russia 
545419,intel  dell and lenovo corporations have suspended shipments of products to  russia 
546080, kyiv region prepare to meet the invaders 
547030, ukrainebreakingnews  the  ukrainian army is mining the beaches in  odessa   kiev  kyiv 
549463,this is my city  kyiv after this night  i fear for the next half hour  i can hear jets and see them fly  this cannot be happening 
549697,the russian ministry of defense website is down   anonymous  ukraine
550492,intel  dell and lenovo corporations have suspended shipments of products to  russia 
550537,ukrainian president zelensky    i am staying in kyiv with my people  as is my family   ukraine stands alone  they don t want us in nato  nobody wants to fight for us  i am grateful to all countries providing actual help  not just moral support    russiaukrainewar 
551838, british defense secretary ben  wallace stated that  russia had not fulfilled any of its main tasks for the invasion of  ukraine  in addition  he estimated that the russian federation had already lost about   servicemen 
552185,intel  dell and lenovo corporations have suspended shipments of products to  russia 
553119,intel  dell and lenovo corporations have suspended shipments of products to  russia 
553550,anonymous      ukrainian  ukraine  russiaukraineconflict  anonymous  fuckofputin  btc 
554635,ukrainian s ambush a russian vehicle     ukraine    
554784, anonymous  oprussia    has been taken offline in support of the people living in  ukraine   we are legion  expect us    check host   
555545,  ramzan kadyrov  head of the chechen republic  ask volodymyr zelenskyy to apologise with  putin  otherswise     chechen warrior ready to attack on  ukraine   
555947,klitschko urged residents of  kyiv to stock up on water  food and essentials 
557638,jet fight under   kharkiv     pilot wins sky battle  ukraine   breaking 
558654,are you watching  russia  to putin your sons are nothing more than expendable cannon fodder  he doesn t care whether they live or die  whether they rot on a  ukrainian road  or get captured by  ukraine  why are you allowing this to happen  
560132, kyiv region prepare to meet the invaders 
560656, ukrainian friends  if you are forced to evacuate   poland has announced that they will permit you to cross the  polish border with your animals  you will be supported   ukraine  ukraina  ukrainecrisis  animals  dogs  cats  rescue  ukraine russia  rusyaukrayna 
561701, ukraineinvasion  ukrainewar  ukraineunderattack  stopwar  stoprussianaggression       ukrainians needs unmarked  blue men  to help them defend they country 
562154,  footage of the interrogation of another captured russian soldier  it turns out that the officers told them that  ukraine attacked  russia  
563031,today our   yrs old student from  ukraine said he will go back home to  fightforfreedom and his country  this is so  heartbreaking and  unfair   
563385,she is a russian but she does not want war  russiaukrainewar 
564020,russia s ukraine please stop the war     pray for ukraine   ukrainerussia  russiaukrainewar 
564068,intel  dell and lenovo corporations have suspended shipments of products to  russia 
564412, czechrepublic supports to kick  russia out from swift  will explain to other countries why the toughest approach is necessary      mfa said in brussels  
565908,  footage of the interrogation of another captured russian soldier  it turns out that the officers told them that  ukraine attacked  russia  
566182,kadyrov s chechens have broken through kherson defence and are in kyev right now  they re special forces  trained to kill innocent civilians   ukraine  russiaukraineconflict  russianinvasion  putinisawarcriminal  chechen  wojna
566324,another video from grozny  chechnya sent to me by local source today  thousands of additional chechen government forces being deployed to ukraine as part of russia s occupation force  ukraine  ukrainerussia  ukraineinvasion  russia  russiaukrainewar 
567071,information for ukrainians seeking shelter in poland         updated thread   ukraine  kyiv
567446,when all world leaders are hiding and afraid of putin  this great man president zelensky is defending country with his spirit        russianinvasion  ukraine   russiaukrainewar   ukraineunderattack   zelenskiy 
567777,they need attention     ukrainians taken shelter in a subway to be safe from air raid                     ukraina  ukraine  warinukraine  ukraineinvasion  russiaukrainewar  russiaukraine 
568159,the fact that the  euco acted fast on sanctions against  russia is a good thing  but not excluding russia from  swift is a big mistake  ukraine is under the bombs  what are we waiting for  words are not enough  we need sanctions that will really harm putin 
568487,intel  dell and lenovo corporations have suspended shipments of products to  russia 
569235,intel  dell and lenovo corporations have suspended shipments of products to  russia 
569801, kyiv region prepare to meet the invaders 
569996,head of german federal intelligence service was evacuated from  ukraine by a special force and is on its way to poland right now  german media says he was  surprised  by the russian invasion thursday morning  wow  just wow 
571113,jewish children in a local chabad community in  kiev   ukraine  pray and sing while explosions are heard in the background  as russia s military offensive against the country intensifies  
571674, finland and  sweden will boycott the song contest  eurovision   if participants from  russia are allowed to participate 
572928,i don t like putin  he s a gangster and a thug  even so  i respect putin because he tenaciously defends his country s interests and he understands the use of power  the same could be said about china s xi   but can anyone say these things about biden   ukrainerussia
573205,andryi and his friend reporting for army reserve  andryi is   and left his     year old son  took a bus here  he tells me  only a stupid person would not be afraid  but he will fight to  destroy russians  and  do my duty  for  ukraine  
573717, i urge nato to take military actions against  and help defend  sanctions are not good enough  i beg you to support  ukraine
573920,turned out we as a society learnt nothing since the world war ii if we allowed people like vladimir putin to start a war against  ukraine   i m very very sorry ukraine that you must suffer from our stupidity   wish you all the best and kick russian asses out of your soil   
574246,  injured children in  ukraine appealed to  putin and asked him to remove their occupiers from their homeland   how do you think  putin will hear this  
574482,the russian ministry of defense website is down   anonymous  ukraine
575466,  injured children in  ukraine appealed to  putin and asked him to remove their occupiers from their homeland   how do you think  putin will hear this  
575729,  injured children in  ukraine appealed to  putin and asked him to remove their occupiers from their homeland   how do you think  putin will hear this  
576577,  injured children in  ukraine appealed to  putin and asked him to remove their occupiers from their homeland   how do you think  putin will hear this  
576837, swift is our sharpest sword and was announced to hit in case of an attack  the swift exclusion of  russia must not fail because of germany   lanz
577775,  injured children in  ukraine appealed to  putin and asked him to remove their occupiers from their homeland   how do you think  putin will hear this  
577881,polish prime minister mateusz morawiecki  has announced that the committee of ministers of the council of europe has initiated the procedure for suspending russia as a member    ukraine  russia  attack  ukraineinvasion
578105, finland and  sweden will boycott the song contest  eurovision   if participants from  russia are allowed to participate 
578490,ten thousand chechen military on their way to ukraine   ukraine  russia 
578577,   ukrainian girl is asking putin to stop russian troops   ukraine  war  russia  ukrainerussia  ukraineinvasion  putin  ukraineinaction  livenews  ukraineunderattack  ukrainewar   ukraynarusya  stopputin  stopwar  stoprussia  standwithukraine  e en romanya ruslar la 
579541,a neighbour in trouble  via   peace  freeukraine  nowar  ukrainerussia  nato  polaroid love  russiaukraineconflict  russiaukrainewar
579994,volunteers in line to get weapons in  kyiv  my friend just went to enlist but they have so many applications that they could not even process them  he does not have military experience so was told to go home they will call him   war will not be as fast as  putin planned  
581653,  the russian invasion of  ukraine ends once and for all an era of illusions about the west s relations with moscow   pm  wrote in his article for  read more    
582182,look at this brave woman who openly asks a russian soldier   why did you come to our country    this is henichesk  a port city along the sea of azov in kherson oblast of southern  ukraine  
582320,this  ukraine 
583503, sweden sent military technical and humanitarian aid to  ukraine 
584672, kyiv  bucha  reports say russian troops roaming in the streets and woods  firing on civilians 
584865,   france will provide  ukraine with military equipment and financial aid of   million euros 
587091,     the general staff informed that the ukrainian army recaptured the island of snakes   russia  war  ukraine  putin  islandofsnakes  conflict  russianagression  wojna  ukraina  rosjaukraina 
587207,allegedly  a message from one of the ukrainian soldiers   ukraine  ukrainerussia  ukraineinvasion  russia 
588093, polish computer game developers cd project red  who created the cult game  the witcher     donated   million zlotys to a humanitarian fund to help  ukraine  
588657,how to get yourself banned on youtube  here s how  watch a live stream from  ukraine   how about we heavily tax  and use that money to help stop war    
589659,  footage of the interrogation of another captured russian soldier  it turns out that the officers told them that  ukraine attacked  russia  
590076,ukrainian soldier with a proud flag in front of a russian soldier     ukrainerussia  ukraine   russiaukraineconflict   russia  worldwariii  worldwar  
590928,president of ukraine is leading from the front   ukraine  ukrainerussia  putin  ukraineinvasion  ukrainian         russia 
591332,     recordings from industrial areas of kharkiv  russia  war  ukraine  putin  kharkiv  conflict  russianagression  wojna  ukraina  rosjaukraina  warinukraina  stopwar  putinstop 
592005,  bit studios team statement   fuckthewar  ukraine    
592492,evacuation at  kyiv railway station looked like this today   evacuates  k refuges per hour  and women and children are the priority now  photographed by our correspondent 
593043,the ghost of kyiv     ukraine 
598706,while ukrainians bravely defend their country s freedom against  russia s invasion troops shelling several  ukraine s cities including  kyiv  it is putin who bears sole responsibility for the loss of innocent ukrainian lives  amp  destruction his forces are wreaking upon the country 
598727,tough old day  i got arrested by the ukrainian army for filming them   are you a russian spy   no etc  they were nicer than putin  i got a cup of tea  spent time at ukraine int hq as they checked me out  never mind   putin s war is not going well    vladimir putin is in trouble  
598983,kick all children of  russia s war criminal elites out of western schools  colleges and universities  the money they pay is soaked with blood of ukrainian and russian people 
599356, if only the  ukraine  army had  rambo  fuckem  
599491,don t leave them behind         ukraine  ucraina  kiev  kyiv 
600133, no war please    russian tennis player andrey rublevn  ukrainerussia   ukrainewar 
600249, finland and  sweden will boycott the song contest  eurovision   if participants from  russia are allowed to participate 
600459,protests against russian violence in tbilisi  georgia right now     ukraine 
601628,spread the message    ukraine  ukraineinvasion 
602412,zelensky stays in  kyiv  he recorded a video on bankova street along with other statesmen of  ukraine    thus  he refuted the misinformation of russian propagandists about his alleged escape from the city  
602702,zelensky stays in  kyiv  he recorded a video on bankova street along with other statesmen of  ukraine    thus  he refuted the misinformation of russian propagandists about his alleged escape from the city  
604391,just in   german defense minister lambrecht fears  putin is no longer afraid of attacking nato partners   lambrecht   he is not predictable at all right now  
604474,just in   german defense minister lambrecht fears  putin is no longer afraid of attacking nato partners   lambrecht   he is not predictable at all right now  
604533,ukrainians are not backing down  this is the mayor of kyiv  vitali klitschko   russiaukrainewar 
605585,zelensky stays in  kyiv  he recorded a video on bankova street along with other statesmen of  ukraine    thus  he refuted the misinformation of russian propagandists about his alleged escape from the city  
606665,zelensky stays in  kyiv  he recorded a video on bankova street along with other statesmen of  ukraine    thus  he refuted the misinformation of russian propagandists about his alleged escape from the city  
607437,zelensky stays in  kyiv  he recorded a video on bankova street along with other statesmen of  ukraine    thus  he refuted the misinformation of russian propagandists about his alleged escape from the city  
607465,  serbia will not join sanctions against  russia 
607484,dear world   know that at this very moment thousands of  polish people are offering help to  ukraine  they re giving lifts for free  providing homes and beds to families escaping the conflict    there is still much good in this world if you look for it 
607529,today s un security council resolution to end the unjustified military aggression against  ukraine is supported by all   eu member states   eu leaders have demanded that russia immediately cease military actions  amp  unconditionally withdraw all forces from ukraine  
607827,we are not going to profit from grief   we want to help those who need it now at a difficult time for the ukrainian people  with the funds received  we will help people who are lucky enough to get to poland  but still have a difficult life situation  nft  nftcommumity  ukraine
607863,   this is  tbilisi right now    one of the largest demonstration in years  especially angry after pm s speech about  georgia not joining sanctions in support of  ukraine    photo  publika 
608287,zelensky stays in  kyiv  he recorded a video on bankova street along with other statesmen of  ukraine    thus  he refuted the misinformation of russian propagandists about his alleged escape from the city  
608885,   i stay in the capital with my people  my family is also in  ukraine   there is information that the enemy has marked me as target number    and my family   target number     vladimir zelensky  
609153,dear ukrainians    if you are heading to poland  you can take your pets with you  and they don t need a passport or any vaccination to cross the    border   i know people s lives are the most important  but we can save the small ones too   wojna  war  ukraine  ukraineinvasion
609298,   case no      feb   warcrimestracker  in  melitopol  south  ukraine  russian troops attacked a hospital  if not occupied by ukrainian troops  attack constitutes a  warcrime  see article   of iv geneva convention of    russiaukrainewar  
609793,russian missile lands in civilian street but doesn t explode on impact  ukraine  ukrainerussia   ukrainerussiaconflict   ukraineinvasion 
609936,major update  help victims of war in ukraine    please don t stop  fuckthewar  ukraine 
610236,dear ukrainians    if you are heading to poland  you can take your pets with you  and they don t need a passport or any vaccination to cross the    border   i know people s lives are the most important  but we can save the small ones too   wojna  war  ukraine  ukraineinvasion
610330,zelensky stays in  kyiv  he recorded a video on bankova street along with other statesmen of  ukraine    thus  he refuted the misinformation of russian propagandists about his alleged escape from the city  
610491,zelensky stays in  kyiv  he recorded a video on bankova street along with other statesmen of  ukraine    thus  he refuted the misinformation of russian propagandists about his alleged escape from the city  
610606,the anonymous collective is officially in cyber war against the russian government   anonymous  ukraine
611187,more than   russian scientists and scientific journalists have signed an open letter against the  war in  ukraine    for me  it is of particular significance  because i am one of the signatories    please retweet and tell everyone we don t support war   
611591, ukrainewar  this man is   year old  showed up to join the ukrainian army  carrying with him a small case with   t shirts  a pair of extra pants  a toothbrush and a few sandwiches for lunch  he said he was doing it for his grandkids in  ukrainerussia 
611882, breaking  nato to provide more weapons including air defense systems to ukraine  nato secretary general stoltenberg
612087,zelensky stays in  kyiv  he recorded a video on bankova street along with other statesmen of  ukraine    thus  he refuted the misinformation of russian propagandists about his alleged escape from the city  
612134,dear ukrainians    if you are heading to poland  you can take your pets with you  and they don t need a passport or any vaccination to cross the    border   i know people s lives are the most important  but we can save the small ones too   wojna  war  ukraine  ukraineinvasion
612183,kyiv knew from the beginning that they can never challenge putin on their own  it was biden who provoked russia  amp  encouraged ukraine giving them false assurances that nato  amp  us would support them in  russiaukrainewar  another betrayal in  ukrainerussia conflict   bidenisadisgrace 
613036,military equipment and ammunition sent successfully to  ukraine from the government in  poland  
613176,statement by  nato heads of state and government on russia s attack on  ukraine      standwithukraine
613245,  live now     press conference following the extraordinary virtual summit of  nato heads of state and government    hq  brussels    natosummit  
613675,frame it  put it on a t shirt  never forget this bravery   ukraine 
614365,  live now     press conference following the extraordinary virtual summit of  nato heads of state and government    hq  brussels    natosummit  
614552,  tv address to the russian     people might be the most moving speech that i ve ever seen in my entire life  the whole world needs to see  understand and share this crucial ukrainian message   standwithukraine  ukraine           russia         
614807,tensions high as  tries to enter residence  during  ukraine  ukrainerussia  ukraineinvasion protest 
615051,mayor   kiev has entered the phase of city defense and the situation in  ukraine s capital is very serious   empr  russiainvidedukraine  russia
615203,crunching koalas team statement    standwithukraine  ukraine     
615503, british prime minister johnson  it is now impossible to normalize relations with  russia after the events in  ukraine 
616270, british prime minister johnson  it is now impossible to normalize relations with  russia after the events in  ukraine 
616408,    the  eu and  nato will continue to impose sanctions against  russia  even if it leads to losses for themselves   nato secretary general said  
